id,organization,job_role,location,contacts,applied_dates,remarks,status,category,count,username_password,created_at
1,100ms,,India,,2026-02-03,,Applied,Fulltime,1,,2026-04-28 21:26:17.264805
2,10a Labs,https://job-boards.greenhouse.io/10alabs,,,2025-12-08,,Applied,Fulltime,2,,2026-04-28 21:26:17.264805
3,2K,,,,2026-04-25,,Applied,Fulltime,1,,2026-04-28 21:26:17.264805
4,AE Studio,,,,2026-04-08,,Applied,Fulltime,2,,2026-04-28 21:26:17.264805
5,AES,,,,2026-01-20,,Rejected,Fulltime,1,,2026-04-28 21:26:17.264805
6,AMG & Associates,,,,2026-04-26,,Applied,Fulltime,2,,2026-04-28 21:26:17.264805
7,AQR,,,,2026-02-19,,Applied,Fulltime,2,,2026-04-28 21:26:17.264805
8,Aarki,,,,2026-03-05,,Applied,Fulltime,1,,2026-04-28 21:26:17.264805
9,Abaka AI,,,,2026-04-13,,Applied,Fulltime,4,,2026-04-28 21:26:17.264805
10,Abbvie,,,,2025-11-13,,Rejected,Fulltime,3,,2026-04-28 21:26:17.264805
11,Abridge,,,,2026-02-13,,Applied,Fulltime,3,,2026-04-28 21:26:17.264805
12,Accenture,,,,2026-01-15,,Rejected,Fulltime,3,,2026-04-28 21:26:17.264805
13,Acorns,,,,2026-02-18,,Rejected,Fulltime,1,,2026-04-28 21:26:17.264805
14,Actively AI,,,,2026-01-24,,Applied,Fulltime,6,,2026-04-28 21:26:17.264805
15,Adobe,https://careers.adobe.com/us/en/job/R158632/2026-University-Graduate-Machine-Learning-Engineer,Bay,,2025-08-24,,Rejected,Fulltime,8,,2026-04-28 21:26:17.264805
16,Aechelon,,,,2026-01-21,,Applied,Fulltime,1,,2026-04-28 21:26:17.264805
17,AegisAI,,,,2026-02-03,,Applied,Fulltime,3,,2026-04-28 21:26:17.264805
18,Aeva,,,,2026-04-01,,Applied,Fulltime,2,,2026-04-28 21:26:17.264805
19,Affirm,https://job-boards.greenhouse.io/affirm/jobs/6555054003,,,2025-09-07,,Rejected,Fulltime,7,,2026-04-28 21:26:17.264805
20,Afresh,,,,2026-03-03,,Applied,Fulltime,3,,2026-04-28 21:26:17.264805
21,Aily Labs,,Madrid,,2026-04-01,,Rejected,Fulltime,1,,2026-04-28 21:26:17.264805
22,Aircall,,,,2026-01-18,,Rejected,Fulltime,1,,2026-04-28 21:26:17.264805
23,Akur8,,,,2026-04-01,,Rejected,Fulltime,1,,2026-04-28 21:26:17.264805
24,Alan*,,Paris,,2026-02-01,,Rejected,Fulltime,1,,2026-04-28 21:26:17.264805
25,Alignment Health,,,,2026-04-09,,Rejected,Fulltime,1,,2026-04-28 21:26:17.264805
26,AllCloud,,,,2026-03-30,,Applied,Fulltime,1,,2026-04-28 21:26:17.264805
27,Allstate,,,,2025-09-07,,Rejected,Fulltime,2,,2026-04-28 21:26:17.264805
28,Altos Labs,https://www.altoslabs.com/careers,,,2025-11-25,,Rejected,Fulltime,2,,2026-04-28 21:26:17.264805
29,Amazon,,,,2026-03-02,,Rejected,Fulltime,7,5 Rejected,2026-04-28 21:26:17.264805
30,American Airlines,,,,2026-02-18,,Rejected,Fulltime,2,,2026-04-28 21:26:17.264805
31,Ameriprise,,,,2026-01-16,,Rejected,Fulltime,1,,2026-04-28 21:26:17.264805
32,Amex,,,Swattik,2025-11-18,,Rejected,Fulltime,3,,2026-04-28 21:26:17.264805
33,Amgen,,,,2026-03-24,,Rejected,Fulltime,2,,2026-04-28 21:26:17.264805
34,Amigo,,,,2026-02-01,,Rejected,Fulltime,1,,2026-04-28 21:26:17.264805
35,Amplitude,,,,2026-04-01,,Rejected,Fulltime,1,,2026-04-28 21:26:17.264805
36,Analog Devices,,,,2026-03-26,,Rejected,Fulltime,1,,2026-04-28 21:26:17.264805
37,AntkinsRealis*,,,,2026-03-11,,Applied,Fulltime,1,,2026-04-28 21:26:17.264805
38,Anyscale*,,1 India,,2026-03-01,,Applied,Fulltime,2,,2026-04-28 21:26:17.264805
39,AppLovin,https://job-boards.greenhouse.io/applovin/jobs/4447610006?gh_jid=4447610006,Bay,,2025-09-03,,Applied,Fulltime,4,,2026-04-28 21:26:17.264805
40,Apple,,,,2025-09-04,,Applied,Fulltime,6,,2026-04-28 21:26:17.264805
41,Applied Intuition,,,,2025-11-05,,Rejected,Fulltime,12,,2026-04-28 21:26:17.264805
42,Applied Materials,,,,2025-12-30,1 India,Rejected,Fulltime,6,,2026-04-28 21:26:17.264805
