id,organization,job_role,location,contacts,applied_dates,remarks,status,category,count,username_password,created_at
1,Jump Trading,https://www.jumptrading.com/careers/7141699/,NYC,,2025-08-18,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
2,Adobe,https://careers.adobe.com/us/en/job/R158632/2026-University-Graduate-Machine-Learning-Engineer,Bay,,2025-08-24,,Rejected,Fulltime,6,,2026-05-09 13:21:12.153358
3,TikTok,https://lifeattiktok.com/search/7534982208201984274,,,2025-09-03,,Applied,Fulltime,2,,2026-05-09 13:21:12.153358
4,AppLovin,https://job-boards.greenhouse.io/applovin/jobs/4447610006?gh_jid=4447610006,Bay,,2025-09-03,,Applied,Fulltime,4,,2026-05-09 13:21:12.153358
5,Thomson Reuters,https://careers.thomsonreuters.com/us/en/c/technology-careers-jobs?s=1,,,2035-09-03,,Rejected,Fulltime,10,,2026-05-09 13:21:12.153358
6,Microsoft,,,,2025-09-03,,Rejected,Fulltime,3,2 Rejected,2026-05-09 13:21:12.153358
7,Google,REVIST WEBSITE AFTER 30 DAYS,,,2025-09-03,,Applied,Fulltime,3,,2026-05-09 13:21:12.153358
8,Snap,,,,2025-09-04,,Rejected,Fulltime,3,,2026-05-09 13:21:12.153358
9,Spotify,,,,2025-09-04,,Applied,Fulltime,9,,2026-05-09 13:21:12.153358
10,Apple,,,,2025-09-04,,Applied,Fulltime,5,,2026-05-09 13:21:12.153358
11,T Mobile,,,,2025-09-04,,Rejected,Fulltime,5,,2026-05-09 13:21:12.153358
12,TogetherAI,https://job-boards.greenhouse.io/togetherai/jobs/4835315007,,,2025-09-04,,Rejected,Fulltime,3,1 Rejected,2026-05-09 13:21:12.153358
13,Wayfair,,,,2025-09-04,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
14,JP Morgan Chase,,,,2025-09-05,,Rejected,Fulltime,11,7 Rejected,2026-05-09 13:21:12.153358
15,Prolific,https://job-boards.eu.greenhouse.io/prolific/jobs/4558342101,,,2025-09-06,,Rejected,Fulltime,2,,2026-05-09 13:21:12.153358
16,Nextdoor,https://about.nextdoor.com/careers-list/?gh_jid=5584158,,,2025-09-06,,Rejected,Fulltime,6,,2026-05-09 13:21:12.153358
17,Baselayer,,,,2025-09-06,,Applied,Fulltime,2,,2026-05-09 13:21:12.153358
18,JaneStreet,,,,2025-09-06,,Applied,Fulltime,4,,2026-05-09 13:21:12.153358
19,Affirm,https://job-boards.greenhouse.io/affirm/jobs/6555054003,,,2025-09-07,,Rejected,Fulltime,7,,2026-05-09 13:21:12.153358
20,Radian,,,,2025-09-07,,Rejected,Fulltime,3,,2026-05-09 13:21:12.153358
21,Allstate,,,,2025-09-07,,Rejected,Fulltime,2,,2026-05-09 13:21:12.153358
22,Baseten,,,,2025-09-07,,Rejected,Fulltime,9,1 Rejected,2026-05-09 13:21:12.153358
23,Attlasian,,,,2025-09-08,,Rejected,Fulltime,2,,2026-05-09 13:21:12.153358
24,EY,,,,2025-09-11,,Rejected,Fulltime,8,7 Rejected,2026-05-09 13:21:12.153358
